                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.73246,                0.56248,                 1.1726,                0.77756,                0.71184,                0.76452,                0.53147,                 1.1721,                 1.0702,                 1.7389,                0.00013,                0.00013,                0.00013
                     83,                0.75048,                0.56949,                 1.1866,                0.81093,                0.72556,                0.76991,                0.53266,                 1.1831,                   1.04,                 1.7331,             0.00012381,             0.00012381,             0.00012381
                     84,                 0.7345,                0.55792,                  1.168,                0.75512,                0.76096,                0.77097,                0.54061,                 1.1641,                 1.0406,                 1.7365,             0.00011763,             0.00011763,             0.00011763
                     85,                0.72996,                0.54774,                 1.1707,                0.75797,                0.75494,                0.76412,                0.53475,                 1.1807,                 1.0743,                 1.7236,             0.00011144,             0.00011144,             0.00011144
                     86,                0.72668,                0.54908,                 1.1744,                0.75737,                0.74459,                0.77022,                0.53095,                 1.1926,                 1.0622,                 1.7435,             0.00010525,             0.00010525,             0.00010525
                     87,                0.73269,                0.55116,                 1.1717,                0.79054,                0.74162,                 0.7766,                0.53541,                 1.1844,                 1.0473,                 1.7562,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.71259,                0.54469,                 1.1609,                0.73467,                0.74942,                0.76966,                0.53515,                 1.1633,                 1.0733,                 1.7187,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.71837,                0.53555,                 1.1627,                0.76518,                0.75023,                 0.7777,                0.53488,                 1.1987,                 1.0496,                  1.772,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.70897,                 0.5409,                 1.1532,                0.81647,                0.69622,                0.76532,                0.53015,                 1.1966,                 1.0548,                 1.7577,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.59901,                0.42895,                 1.1612,                0.78765,                0.73044,                0.76824,                0.52808,                 1.1745,                 1.0565,                 1.7569,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.58539,                0.41785,                 1.1487,                0.81543,                0.71218,                0.77046,                0.53652,                 1.1591,                 1.0246,                  1.745,             6.8125e-05,             6.8125e-05,             6.8125e-05
